imo,vessel_name,tanker_size,build_year,flag,ship_manager,registered_owner,ism_manager,list_source
9306809,Cc Innovator,Handysize,2006,"Hong Kong, China",China. Hathaway Co Ltd,China. Thousand Sunny Ltd,Unknown,new_product_2025
9037123,As Calcutta,Handysize,2001,Panama,Marshall Islands. As Calcutta Shipping Co Ltd,Marshall Islands. As Calcutta Shipping Co Ltd,Marshall Islands. As Calcutta Shipping Co Ltd,new_product_2025
9430272,Jin Hui,Handysize,2009,Panama,Marshall Islands. Jinhui Shipping Ltd,Marshall Islands. Jinhui Shipping Ltd,China. Seasafe Shipping Co Ltd,new_product_2025
9321718,Zale,Suezmax,2006,Unknown,Marshall Islands. Zale Shipping Inc,Marshall Islands. Zale Shipping Inc,UAE. Sertel Shipping Fze,new_product_2025
9333577,Arktida,Handysize,2005,Russia,Russia. Ark Shipping Co Ltd,Russia. Palmali Co Ltd,Russia. Ark Shipping Co Ltd,new_product_2025
9645023,Vasily Surikov,Handysize,2012,Russia,Russia. Ilya Muromets Jsc,Russia. Ilya Muromets Jsc,Russia. Ilya Muromets Jsc,new_product_2025
9645009,Professor Malyshkin,Handysize,2012,Russia,Russia. Investneftetrade Llc,Russia. Investneftetrade Llc,Russia. Ermak Shipping Llc,new_product_2025
9164718,Thoth,Handysize,1999,Russia,Russia. Kontur-Spb Ooo,Russia. Caird Seafaring Ltd,Russia. Kontur-Spb Ooo,new_product_2025
9735141,Midvolga-3,Handysize,2014,Russia,Russia. Mazk Management Llc,Russia. Mazk Management Llc,Russia. Mazk Management Llc,new_product_2025
9046564,Antares,Handysize,1993,Russia,Russia. Niko Co Ltd,Russia. Niko Co Ltd,Russia. Niko Co Ltd,new_product_2025
9503304,General Skobelev,Handysize,2008,Russia,Russia. Sc Perspective Ltd,Russia. Sc Perspective Ltd,Russia. Jsc Sovfracht,new_product_2025
9690212,Stalingrad,Handysize,2014,Russia,Russia. Trans-Flot Jsc,Russia. Trans-Flot/Vladimirovich Pv,Russia. Trans-Flot Jsc,new_product_2025
9612909,Aleksandr Shemagin,Handysize,2012,Russia,Russia. Volgotrans Llc,Russia. Volgotrans Llc,Russia. Volgotrans Llc,new_product_2025
9292199,Kayseri,Suezmax,2005,Panama,Turkey. Bow Maritime Gemi,Turkey. Kayseri Shipping Sa,Turkey. Bow Maritime Gemi,list1_2024_2025
9347308,Aura Maris,Handysize,2008,Panama,Singapore. United Fuel Trading Uft Pte,Singapore. United Fuel Trading Uft Pte,Singapore. Astute Maritime Services Pte,list1_2024_2025
9290373,Konya,Suezmax,2005,Panama,Turkey. Bow Maritime Gemi,Turkey. Konya Shipping Sa,Turkey. Bow Maritime Gemi,list1_2024_2025
9867621,Khankendi,Aframax,2020,Azerbaijan,Azerbaijan. Sa Maritime Afezco,Azerbaijan. Sa Leader Shipholdings Afezco,Azerbaijan. Asco Shipmanagement Afezco,list1_2024_2025
9621596,Stanislav Govorukhin,Handysize,2016,Russia,Russia. Gazprom Flot Llc,Russia. Gazprom Flot Llc,Russia. Gazprom Flot Llc,list1_2024_2025
9645047,Bm Flot-3,Handysize,2012,Russia,Russia. Astek Llc,Russia. Astek Llc,Russia. Bm Flot Llc,list2_2024_2025
9884150,Sergey Lvov,Handysize,2023,Russia,Russia. Ilya Muromets Jsc,Russia. Ilya Muromets Jsc,Russia. Ilya Muromets Jsc,list2_2024_2025
9640580,Viktor Vasnetsov,Handysize,2013,Russia,Russia. Ilya Muromets Jsc,Russia. Ilya Muromets Jsc,Russia. Ilya Muromets Jsc,list2_2024_2025
9645035,Pavel Bryullov,Handysize,2012,Russia,Russia. Ilya Muromets Jsc,Russia. Ilya Muromets Jsc,Russia. Ilya Muromets Jsc,list2_2024_2025
